N,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1973,-9.6,-2.4,0.9,6.0,3.3,5.7,3.4,1.1,7.2,1.6,-10.6,4.2,-20.0,9.9,-1.0,6.6,4.4,-1.1,-13.3,-15.8,-2.3,-4.2,-12.9,1.2,-18.5,-7.0,4.5,-16.4
1974,-13.3,-4.2,-1.3,6.2,1.7,4.3,1.7,1.6,7.9,1.4,-12.6,2.8,-21.3,10.6,-2.5,5.4,4.8,-2.1,-16.0,-17.5,-1.2,-6.1,-14.0,1.3,-18.9,-6.6,3.8,-19.1
1975,-10.7,-3.5,-0.9,4.7,3.0,5.0,3.1,0.6,7.1,1.0,-11.1,3.5,-20.5,9.7,-2.0,5.6,2.5,-1.4,-13.5,-16.7,-1.7,-5.5,-13.4,1.1,-19.0,-6.6,4.3,-18.3
1976,-10.6,-1.8,-1.1,5.7,1.7,3.9,1.5,1.2,7.7,3.2,-12.2,4.3,-20.6,10.1,-1.3,5.2,5.0,0.3,-14.9,-17.0,-0.3,-6.4,-13.3,3.1,-18.7,-4.1,4.1,-17.8
1977,-10.0,-2.1,1.1,5.4,3.0,4.8,2.9,1.7,7.7,2.2,-10.3,4.6,-19.8,10.2,-0.7,5.6,4.2,0.4,-13.7,-15.1,0.0,-3.9,-12.5,2.6,-19.1,-4.1,4.5,-17.6
1978,-11.5,-3.2,-0.8,5.0,1.9,3.6,1.4,1.8,7.8,1.2,-13.1,3.9,-19.3,10.3,-2.5,5.1,4.1,-0.1,-15.7,-17.0,-0.8,-6.6,-14.5,2.2,-17.7,-3.8,4.1,-17.4
1979,-10.9,-3.2,1.3,5.4,3.5,3.5,2.0,2.0,7.7,0.7,-12.2,5.3,-21.5,10.3,-3.0,6.9,4.1,-1.0,-15.5,-17.2,-1.4,-4.9,-14.0,1.2,-19.7,-4.2,5.3,-18.8
1980,-10.3,-1.7,0.1,5.8,1.9,3.4,1.4,2.1,8.3,2.2,-11.2,3.6,-19.9,10.1,-1.3,5.4,4.0,-0.3,-14.4,-15.3,-1.0,-4.7,-11.3,2.8,-18.0,-4.5,4.0,-17.5
1981,-8.6,-0.6,2.0,6.5,3.9,3.9,3.1,3.1,8.8,3.9,-9.7,5.6,-17.6,11.0,0.2,6.5,5.6,1.0,-12.6,-14.4,0.6,-2.9,-11.9,3.8,-15.9,-1.9,5.5,-15.7
1982,-12.4,-4.9,-1.5,5.1,2.1,3.3,2.0,2.5,7.1,-0.4,-13.5,3.5,-20.4,9.9,-3.7,5.4,2.4,-2.3,-15.8,-17.3,-2.3,-6.1,-13.7,-0.2,-18.5,-6.6,4.1,-18.8
1983,-11.9,-4.0,-0.4,6.0,3.5,3.9,2.4,1.8,8.4,1.8,-11.9,4.8,-19.3,10.6,-1.0,6.6,4.4,-1.4,-14.1,-16.5,-1.5,-5.9,-15.6,1.3,-17.8,-5.5,4.2,-17.4
1984,-10.8,-3.2,-0.7,5.6,3.0,4.5,2.8,1.2,7.5,2.2,-11.2,4.1,-21.3,9.8,-1.2,6.1,3.8,-1.2,-13.8,-17.1,-0.6,-5.4,-13.5,2.0,-18.6,-4.2,4.3,-17.7
