t,x1,x2
206,0.600839788,-0.162915016
207,0.4234633604,-0.2117789484
208,0.2283534369,-0.2347734018
209,0.0526047764,-0.2436882052
210,-0.081334373,-0.2464278938
211,-0.1683653811,-0.2470550083
212,-0.2163067841,-0.2471513151
213,-0.2383223227,-0.2471595235
214,-0.2465048271,-0.2471597859
215,-0.248850934,-0.247159787
216,-0.2493306795,-0.247159787
217,-0.2493917599,-0.247159781
218,-0.2493954972,-0.2471591388
219,-0.2493955584,-0.2471454217
220,-0.2493955585,-0.2470188827
221,-0.2493955582,-0.2463251946
222,-0.2493954117,-0.2436677508
223,-0.2493888251,-0.2358635841
224,-0.2492969351,-0.2172620028
225,-0.2486424707,-0.1799205595
226,-0.2456510417,-0.1152263819
227,-0.2357321701,-0.0169519408
228,-0.210099058,0.1151255132
229,-0.156143252,0.2725500384
230,-0.0611022316,0.4379402599
231,0.0810800809,0.5878461537
232,0.2623935345,0.6981258522
233,0.4573586425,0.7501416626
234,0.6272013893,0.7356468087
235,0.7315894153,0.6587022746
236,0.7433879059,0.5340969388
237,0.6594316349,0.3830186956
238,0.5018155499,0.2275959092
239,0.3090303255,0.0860908182
240,0.121507461,-0.0299824832
241,-0.0313987953,-0.1164113207
242,-0.1375707135,-0.1749317786
243,-0.2003027867,-0.2108778011
244,-0.2314616182,-0.2307872787
245,-0.244165563,-0.2406312714
246,-0.24825333,-0.2449113783
247,-0.2492273377,-0.2465123685
248,-0.2493817346,-0.2470112442
249,-0.2493951324,-0.2471345964
250,-0.2493955568,-0.2471570049
251,-0.2493955585,-0.2471596293
252,-0.2493955585,-0.2471597843
253,-0.2493955421,-0.247159787
254,-0.2493939084,-0.247159787
255,-0.249359942,-0.247159787
256,-0.2490517036,-0.2471597845
257,-0.247389481,-0.2471596572
258,-0.2411589421,-0.2471577168
259,-0.2234164017,-0.2471426696
260,-0.1829093783,-0.2470668807
261,-0.1062574641,-0.2467843259
262,0.0163410887,-0.2459415319
263,0.183473256,-0.2438276428
264,0.3769029882,-0.239216586
265,0.5623373816,-0.2302594509
266,0.6983244525,-0.2144956688
267,0.7505418719,-0.1890382459
268,0.7050760816,-0.1509505255
269,0.5740631582,-0.0977787364
270,0.3907612453,-0.0281516996
271,0.1966173748,0.0576763993
272,0.026813348,0.1574699025
273,-0.0991586265,0.2669441202
274,-0.1788268113,0.3800330768
275,-0.2214532143,0.4894707501
276,-0.2403908448,0.5875991254
277,-0.2471557929,0.6672706779
278,-0.2490004219,0.7226961216
279,-0.249352833,0.750102485
280,-0.2493934294,0.7481064453
281,-0.2493955338,0.7177627555
282,-0.2493955585,0.6623048604
283,-0.2493955585,0.5866428294
284,-0.2493955575,0.4967145162
285,-0.2493952439,0.398796064
286,-0.2493843206,0.2988688152
287,-0.2492514337,0.2021161787
288,-0.2483834805,0.1125927398
289,-0.2446499971,0.0330757193
290,-0.2328269695,-0.0349185646
291,-0.203383556,-0.0909897137
292,-0.1433275198,-0.1356257128
293,-0.0404828829,-0.1699392942
294,0.1093073346,-0.1954082114
295,0.2951587381,-0.2136487672
296,0.4888327833,-0.226239813
297,0.6503118427,-0.2346031116
298,0.740469017,-0.2399369634
299,0.7356562622,-0.2431940491
300,0.6371650961,-0.2450915699
301,0.4706998668,-0.246141464
302,0.2761385466,-0.246690014
303,0.0928219238,-0.2469586893
304,-0.0525928374,-0.2470808974
305,-0.1508972761,-0.2471318891
306,-0.2073746487,-0.2471510899
307,-0.2345657712,-0.2471574702
308,-0.2452542577,-0.2471592831
309,-0.2485415306,-0.2471597035
310,-0.2492796225,-0.2471597776
